ticker,ym,tercil_hhi,deg_avg_sub,eigen_cent_sub,n_tickers_subgrupo
VIVT4,201912,1,0.159609617925499,0.408324547368533,74
VVAR3,201912,1,0.228878358499683,0.553647263530238,74
WEGE3,201912,1,0.222724585212164,0.568741939547272,74
YDUQ3,201912,1,0.181357362246193,0.434499506579297,74
ABEV3,202001,1,0.198634588287157,0.540112407464911,76
ALSO3,202001,1,0.257263218869277,0.67505465400918,76
AMAR3,202001,1,0.159815063136255,0.392245651754899,76
AZUL4,202001,1,0.294890454574938,0.818205408947178,76
B3SA3,202001,1,0.375138254184469,1,76
BBAS3,202001,1,0.346277049392964,0.912168450555169,76
BBDC3,202001,1,0.224067188566481,0.615146530300612,76
BBDC4,202001,1,0.300376326646092,0.790287372077074,76
BBSE3,202001,1,0.171895376670481,0.454313398339118,76
BMGB4,202001,1,0.135997904780098,0.341721142794147,76
BPAC11,202001,1,0.327524449639592,0.9102576150492,76
BPAN4,202001,1,0.177339963262541,0.421778312207822,76
BRDT3,202001,1,0.317462826397738,0.85077053018219,76
BRKM5,202001,1,0.241637656857469,0.674837457050809,76
BRPR3,202001,1,0.192217333214452,0.498648135176421,76
BTOW3,202001,1,0.268938026224038,0.741794797657148,76
CESP6,202001,1,0.294793456340947,0.803761331488493,76
CIEL3,202001,1,0.17890483256771,0.475978840175805,76
CMIG4,202001,1,0.252646612991631,0.698288875961107,76
COGN3,202001,1,0.239268189406178,0.631827228408887,76
CPFE3,202001,1,0.286357342321602,0.779653493323565,76
CPLE6,202001,1,0.17448567135238,0.447911995042,76
CSAN3,202001,1,0.155206813673758,0.423607218332303,76
CSMG3,202001,1,0.257322259387181,0.686948313248811,76
CVCB3,202001,1,0.205688266917319,0.488122356641916,76
CYRE3,202001,1,0.247606254564713,0.670655791572809,76
ELET3,202001,1,0.21995637465933,0.569348765588535,76
ELET6,202001,1,0.278256013428621,0.739320540102922,76
EMBR3,202001,1,0.236408087864949,0.633243597240149,76
ENBR3,202001,1,0.247722664756015,0.640304451005394,76
EQTL3,202001,1,0.232614660190649,0.615413033178686,76
GGBR4,202001,1,0.332118696917502,0.914985624078337,76
GNDI3,202001,1,0.310081906856266,0.820555371297716,76
