setor,ym,valor_setor,n_fundos_setor,n_tickers_setor,aum_total_mes,share_setor,share_prev1,share_prev3,delta_share_1m,delta_share_3m
Construcao e Imobiliario,201912,18201081864.5845,1357,21,252163993347.622,0.0721795432526059,0.0684922650940605,0.0618749983016827,0.00368727815854539,0.0103045449509231
Construcao e Imobiliario,202001,21078484970.7558,1399,21,288436917407.342,0.0730783186848024,0.0721795432526059,0.0640081246595641,0.000898775432196519,0.00907019402523832
Construcao e Imobiliario,202002,23463882824.3549,1412,23,318494156129.479,0.0736713135006974,0.0730783186848024,0.0684922650940605,0.000592994815895059,0.00517904840663697
Construcao e Imobiliario,202003,20425568897.4847,1418,23,285182474982.678,0.0716228053590087,0.0736713135006974,0.0721795432526059,-0.00204850814168876,-0.000556737893597184
Construcao e Imobiliario,202004,13976615870.5774,1403,22,204172537148.607,0.0684549257494141,0.0716228053590087,0.0730783186848024,-0.00316787960959454,-0.00462339293538824
Construcao e Imobiliario,202005,13936433952.6714,1429,22,228072791871.752,0.0611052017134426,0.0684549257494141,0.0736713135006974,-0.00734972403597159,-0.0125661117872549
Construcao e Imobiliario,202006,15905370321.1077,1454,22,249404854213.553,0.0637732989250031,0.0611052017134426,0.0716228053590087,0.00266809721156053,-0.0078495064340056
Construcao e Imobiliario,202007,17480745973.251,1485,22,283083166709.971,0.06175127322622,0.0637732989250031,0.0684549257494141,-0.00202202569878305,-0.00670365252319411
Construcao e Imobiliario,202008,17406798236.3597,1493,22,307767606232.894,0.056558253317887,0.06175127322622,0.0611052017134426,-0.00519301990833302,-0.00454694839555554
Construcao e Imobiliario,202009,20011447594.6972,1499,26,306678059731.494,0.0652522962099663,0.056558253317887,0.0637732989250031,0.00869404289207929,0.00147899728496322
Construcao e Imobiliario,202010,18734792552.7435,1507,26,295647634336.712,0.0633686536838867,0.0652522962099663,0.06175127322622,-0.00188364252607962,0.00161738045766665
Construcao e Imobiliario,202011,19644515081.4274,1538,26,299801671876.546,0.065525035128946,0.0633686536838867,0.056558253317887,0.00215638144505929,0.00896678181105896
Construcao e Imobiliario,202012,20620782253.0013,1593,27,338355791333.908,0.0609440795196898,0.065525035128946,0.0652522962099663,-0.00458095560925615,-0.00430821669027647
Construcao e Imobiliario,202101,19838175890.1498,1585,30,360822900221.747,0.0549803681472492,0.0609440795196898,0.0633686536838867,-0.00596371137244065,-0.0083882855366375
Construcao e Imobiliario,202102,16734060396.626,1597,30,370861754009.869,0.0451220979669439,0.0549803681472492,0.065525035128946,-0.00985827018030525,-0.020402937162002
Construcao e Imobiliario,202103,17674151995.0632,1615,30,372866953779.464,0.0474006929708142,0.0451220979669439,0.0609440795196898,0.00227859500387028,-0.0135433865488756
Construcao e Imobiliario,202104,16963603771.316,1626,29,384788861134.105,0.0440854855343743,0.0474006929708142,0.0549803681472492,-0.00331520743643993,-0.0108948826128749
Construcao e Imobiliario,202105,17067883480.0781,1604,29,406817654924.974,0.0419546282553193,0.0440854855343743,0.0451220979669439,-0.00213085727905495,-0.0031674697116246
Construcao e Imobiliario,202106,16146343651.5476,1631,29,411630272922.735,0.0392253551637549,0.0419546282553193,0.0474006929708142,-0.00272927309156447,-0.00817533780705935
Construcao e Imobiliario,202107,16040927234.2122,1706,29,425862992539.65,0.0376668729502687,0.0392253551637549,0.0440854855343743,-0.00155848221348617,-0.00641861258410559
Construcao e Imobiliario,202108,14866238581.9557,1681,30,401274376757.939,0.0370475650652458,0.0376668729502687,0.0419546282553193,-0.000619307885022936,-0.00490706319007358
Construcao e Imobiliario,202109,14326869942.5776,1706,31,393911169414.151,0.036370814170833,0.0370475650652458,0.0392253551637549,-0.000676750894412742,-0.00285454099292185
