ticker,ym,n_fundos,n_fundos_com_churn,frag_laum_medio,frag_flow_medio,frag_cotistas_medio,frag_exit_rate_medio
ELET3,202303,14362,14176,20.442665730725,-0.0144295470629428,2.44077975557219,0.0826684225729515
EGIE3,202303,4849,4776,20.3120533340044,-0.0242938760712978,2.88067329875929,0.153680797726094
BBAS3,202303,15355,15170,20.0995440744369,-0.0178343341029837,3.22433775969767,0.107477093780308
B3SA3,202303,8520,8413,20.0246834873048,-0.0225196892620185,2.88670576185454,0.0794167375342174
AURE3,202303,8219,8101,19.9738829944985,-0.0165264708228472,3.20203549258977,0.126585579104519
RAIZ4,202303,6410,6334,19.7719997794089,-0.00548910508214984,2.89558014774779,0.114309032122227
ITUB4,202303,10300,10172,20.0745218859702,-0.022714318732121,3.03046041293152,0.113843793190826
GOAU4,202303,13724,13549,20.1630346918177,-0.0164270014496605,3.27607610596994,0.0917848688747292
EUCA4,202303,2980,2949,19.4443278038084,-0.0152084954018801,4.10524066839588,0.179791405644886
ALPA4,202303,8062,7975,20.3483333073657,-0.0232483494642377,2.99975009477644,0.0593845766210436
CLSA3,202303,4523,4481,20.0528380012048,-0.0243999271371155,2.98498759123656,0.183863731638329
IGTI11,202303,5501,5438,20.1042788390902,-0.00586218068231249,3.10444706833923,0.0842447143314419
STBP3,202305,7488,0,20.7467888706797,-0.0159005963483078,2.57976902238652,
ALSO3,202305,9313,0,20.2194956665403,-0.0218678665082414,2.94800291368867,
AMER3,202305,2714,0,20.3217977624229,-0.0112240100470169,2.4903376292335,
ARML3,202305,2069,0,21.9241357523772,-0.00497646237587327,2.41851155238962,
CSAN3,202305,7118,0,20.4448508775381,-0.0227110961132778,2.92259185542546,
CVCB3,202305,3389,0,21.1722714763797,-0.00442759450557713,1.84009484100992,
ENEV3,202305,8695,0,20.352192112384,-0.0215491941652099,2.96095681110868,
EQTL3,202305,10542,0,20.4650641041609,-0.0225351439585078,2.76682529878263,
GGPS3,202305,7974,0,20.1806693630869,-0.0279357836580643,2.75089397769492,
GMAT3,202305,7152,0,20.6893535245653,-0.0227187335076664,2.94598697722606,
OPCT3,202305,2595,0,18.9711808026076,-0.0322086443149603,2.84384844910358,
RENT3,202305,9447,0,20.3257274758921,-0.0239343152060357,2.82393462837278,
SOMA3,202305,9655,0,20.3897940821985,-0.0243412049107735,2.86403651846951,
VIVA3,202305,8963,0,20.041034240976,-0.0254424575107223,2.9342629071628,
PETR4,202305,11408,0,21.0436028536901,-0.0134965293448831,2.80852533444213,
TFCO4,202305,3522,0,19.4381777997188,-0.044426114939823,3.09005905778041,
CEBR3,202305,236,0,20.6440269562039,-0.0171382448838185,3.03623968022083,
UCAS3,202305,77,0,20.7333280046989,-0.00703062340907288,1.95375442576664,
CEBR6,202305,264,0,20.7927781622052,-0.00636616717019231,2.65517592487096,
CLSC4,202305,3008,0,21.5778848218264,-0.00236723588690891,2.15823196163425,
ITSA4,202305,14279,0,20.0558418338756,-0.0202869816117171,2.85865976282095,
ALUP11,202305,1929,0,20.6911826779815,-0.0414544082130617,2.75986035554673,
CPLE11,202305,103,0,20.7464113894258,-0.00694809729780533,2.24167415094799,
CLSC3,202305,12,0,22.2157482061506,0.00214966023649999,2.22335035869572,
CPFE3,202305,7051,0,19.9295069494571,-0.0190762129251724,3.06043104543083,
EQPA3,202305,2011,0,20.2859183294149,-0.0445090108165698,2.97918937854901,
CEBR5,202305,231,0,20.0565160530928,-0.0103562417889727,3.07728382975,
RECV3,202305,7943,0,20.3075480939067,-0.0163659528920034,2.78458072204213,
PORT3,202305,1744,0,20.3175268405778,-0.000482348456914,2.58188399481632,
FIQE3,202305,3191,0,19.9350782962005,-0.00318605860479609,1.57146151726896,
VBBR3,202305,9815,0,20.433388539145,-0.0199037401865098,2.86601923825043,
SUZB3,202305,9415,0,20.4424694660273,-0.0162611227003263,2.89856313679024,
SMFT3,202305,8535,0,20.088158958781,-0.0239068412645167,2.86998890430676,
SCAR3,202305,2642,0,20.0225770862465,-0.00320282301062175,1.97821021256676,
RAIL3,202305,9336,0,20.1614885495625,-0.0253798976591338,3.02098916326278,
PRIO3,202305,10285,0,20.1817777527076,-0.026409276116586,2.96909547991093,
PETZ3,202305,6094,0,20.1115997268944,-0.0175444240853567,3.03482927666228,
NTCO3,202305,9318,0,20.3994327873961,-0.0143257843802376,2.88356665611583,
NINJ3,202305,4768,0,18.9903891500322,-0.0184367781982562,2.24562114691451,
LWSA3,202305,5065,0,19.8941790238556,-0.0286815782918507,3.30201761755138,
LREN3,202305,13436,0,20.0449297507454,-0.0296362402538181,3.0100116036501,
HYPE3,202305,7959,0,19.9632355747018,-0.0259966979277655,3.10035272499494,
HAPV3,202305,9665,0,20.1468219095939,-0.0274151388464409,2.85859320380241,
ENJU3,202305,4763,0,19.4312345813018,-0.0220095325712322,2.75596234360191,
ELET3,202305,15528,0,20.4572987074943,-0.0154204545394631,2.53116001095625,
EGIE3,202305,4869,0,20.2172010163747,-0.0185255345123406,2.85871602438307,
BBAS3,202305,15025,0,20.092928890717,-0.0210834583516924,3.10229240191529,
AURE3,202305,7553,0,19.9715555932791,-0.0226752699999721,3.21239932035069,
ASAI3,202305,13045,0,20.1468763394374,-0.0239702464172126,2.95115427653607,
ITUB4,202305,10327,0,20.1216086219455,-0.0241308624769083,3.08722092022497,
GOAU4,202305,13961,0,20.215058686703,-0.0192131228893906,3.26613779736559,
